Ticker,Feature_Set,Accuracy,Precision,Recall,F1
^N225,Set3,0.5186440677966102,0.5364963503649635,0.5580260303687635,0.5470494417862839
^N225,Set4,0.49491525423728816,0.5151843817787418,0.5151843817787418,0.5151843817787418
^TOPX,Set3,0.5041666666666667,0.5263496143958869,0.5423841059602649,0.5342465753424658
^TOPX,Set4,0.5055555555555555,0.5275288092189501,0.5456953642384106,0.5364583333333334
7203.T,Set3,0.5098039215686274,0.5089647194910353,0.4941044357102751,0.5014245014245015
7203.T,Set4,0.4946778711484594,0.4936499171728327,0.501965188096575,0.4977728285077951
6758.T,Set3,0.5120448179271708,0.5023041474654378,0.4982857142857143,0.5002868617326449
6758.T,Set4,0.5120448179271708,0.5021299254526091,0.5388571428571428,0.519845644983462
9434.T,Set3,0.5,0.5166112956810631,0.5140495867768595,0.5153272576636289
9434.T,Set4,0.5256410256410257,0.5349162011173184,0.6330578512396694,0.5798637395912187
8306.T,Set3,0.5140056022408963,0.49222797927461137,0.4441846873173583,0.46697388632872505
8306.T,Set4,0.4969187675070028,0.47070985527222603,0.39918176504967856,0.43200506008855155
6501.T,Set3,0.4991596638655462,0.5,0.49161073825503354,0.4957698815566836
6501.T,Set4,0.4991596638655462,0.5,0.46140939597315433,0.4799301919720768
6861.T,Set3,0.48711484593837534,0.4889663182346109,0.46960401561628556,0.47908961593172117
6861.T,Set4,0.4969187675070028,0.4991374353076481,0.4841048522030117,0.49150622876557193
6098.T,Set3,0.5105022831050229,0.5393939393939394,0.5356835769561479,0.5375323554788611
6098.T,Set4,0.5191780821917809,0.551594746716698,0.5055889939810834,0.5275908479138627
9983.T,Set3,0.4910364145658263,0.5018949648077964,0.5082236842105263,0.505039498774176
9983.T,Set4,0.5128851540616246,0.5237562884292901,0.5137061403508771,0.5186825352892334
9432.T,Set3,0.5005602240896359,0.52,0.484341252699784,0.5015376013419066
9432.T,Set4,0.49299719887955185,0.5134271099744245,0.43358531317494603,0.47014051522248246
