Ticker,Company_Name,Industry,Sector,Market_Cap,Feature_Set,Accuracy,Precision,Recall,F1
^N225,Nikkei 225,N/A,N/A,N/A,Difference,0.503988603988604,0.5229027277406073,0.5551912568306011,0.5385634773389876
^N225,Nikkei 225,N/A,N/A,N/A,Wavelet,0.49686609686609684,0.5170031880977684,0.5316939890710383,0.5242456896551724
^TOPX,N/A,N/A,N/A,N/A,Difference,0.5059027777777778,0.5271028037383177,0.5602649006622517,0.5431781701444622
^TOPX,N/A,N/A,N/A,N/A,Wavelet,0.49270833333333336,0.5163007318695941,0.5139072847682119,0.5151012280119482
7203.T,TOYOTA MOTOR CORP,Auto Manufacturers,Consumer Cyclical,34685944070144,Difference,0.5073446327683616,0.5047833427124367,0.5093696763202725,0.5070661390616167
7203.T,TOYOTA MOTOR CORP,Auto Manufacturers,Consumer Cyclical,34685944070144,Wavelet,0.5059322033898305,0.5036630036630036,0.4684838160136286,0.4854368932038835
6758.T,SONY GROUP CORPORATION,Consumer Electronics,Technology,19283639795712,Difference,0.5016949152542373,0.4927710843373494,0.47011494252873565,0.4811764705882353
6758.T,SONY GROUP CORPORATION,Consumer Electronics,Technology,19283639795712,Wavelet,0.5050847457627119,0.49653979238754326,0.49482758620689654,0.49568221070811747
9434.T,SOFTBANK CORP.,Telecom Services,Communication Services,9489193369600,Difference,0.48205128205128206,0.5024232633279483,0.5106732348111659,0.506514657980456
9434.T,SOFTBANK CORP.,Telecom Services,Communication Services,9489193369600,Wavelet,0.4863247863247863,0.5064102564102564,0.5188834154351396,0.5125709651257097
8306.T,MITSUBISHI UFJ FINANCIAL GROUP ,Banks - Diversified,Financial Services,21845277409280,Difference,0.501412429378531,0.47930574098798395,0.4216089254257193,0.4486098094345517
8306.T,MITSUBISHI UFJ FINANCIAL GROUP ,Banks - Diversified,Financial Services,21845277409280,Wavelet,0.503954802259887,0.4832596336070752,0.44920728126834997,0.465611685940353
6501.T,HITACHI,Conglomerates,Industrials,18560239796224,Difference,0.5146892655367231,0.5160550458715596,0.5073280721533259,0.511654349061967
6501.T,HITACHI,Conglomerates,Industrials,18560239796224,Wavelet,0.4915254237288136,0.4921497584541063,0.45941375422773395,0.4752186588921283
6861.T,KEYENCE CORP,Scientific & Technical Instruments,Technology,15713194475520,Difference,0.5008474576271187,0.5032751091703057,0.5182686902754357,0.5106618665189698
6861.T,KEYENCE CORP,Scientific & Technical Instruments,Technology,15713194475520,Wavelet,0.4915254237288136,0.4941110487941671,0.4952220348510399,0.49466591802358223
6098.T,RECRUIT HOLDINGS CO LTD,Internet Content & Information,Communication Services,16764071051264,Difference,0.5027777777777778,0.5309653916211293,0.510507880910683,0.5205357142857143
6098.T,RECRUIT HOLDINGS CO LTD,Internet Content & Information,Communication Services,16764071051264,Wavelet,0.4888888888888889,0.5170556552962298,0.5043782837127846,0.5106382978723404
9983.T,FAST RETAILING CO LTD,Apparel Retail,Consumer Cyclical,16462683045888,Difference,0.496045197740113,0.5044479330193616,0.535258189894503,0.5193965517241379
9983.T,FAST RETAILING CO LTD,Apparel Retail,Consumer Cyclical,16462683045888,Wavelet,0.5022598870056497,0.5107201759208356,0.5158245419211549,0.5132596685082873
9432.T,NIPPON TEL & TEL CORP,Telecom Services,Communication Services,12940810911744,Difference,0.4807909604519774,0.49945414847161573,0.49836601307189543,0.4989094874591058
9432.T,NIPPON TEL & TEL CORP,Telecom Services,Communication Services,12940810911744,Wavelet,0.522316384180791,0.5400773908236595,0.5321350762527233,0.5360768175582991
